fltno,dest,source,freq,route
6E  2055,IXU,DEL,7,IXU-DEL
6E  2056,DEL,ATQ,4,DEL-ATQ
6E  2057,ATQ,DEL,7,ATQ-DEL
6E  2058,DEL,BBI,7,DEL-BBI
6E  206,DIB,CCU,7,DIB-CCU
6E  2061,DEL,BHO,7,DEL-BHO
6E  2062,BHO,DEL,7,BHO-DEL
6E  2063,DEL,IDR,7,DEL-IDR
6E  2064,DEL,RPR,7,DEL-RPR
6E  2065,DEL,GAY,7,DEL-GAY
6E  2066,MAA,DEL,7,MAA-DEL
6E  2067,GAY,DEL,7,GAY-DEL
6E  2069,IDR,DEL,7,IDR-DEL
6E  207,AMD,CCU,3,AMD-CCU
6E  2071,DEL,DED,7,DEL-DED
6E  2072,DED,DEL,7,DED-DEL
6E  2073,DEL,IXJ,7,DEL-IXJ
6E  2074,IXJ,DEL,7,IXJ-DEL
6E  2075,CCU,DEL,4,CCU-DEL
6E  2076,DEL,CCU,4,DEL-CCU
6E  208,BLR,VTZ,1,BLR-VTZ
6E  209,BBI,MAA,7,BBI-MAA
6E  2108,BLR,DEL,1,BLR-DEL
6E  211,BLR,BHO,1,BLR-BHO
6E  212,DEL,GOI,7,DEL-GOI
6E  2123,DEL,BLR,1,DEL-BLR
6E  2124,DEL,MAA,7,DEL-MAA
6E  2125,MAA,DEL,7,MAA-DEL
6E  2126,NAG,DEL,7,NAG-DEL
6E  2127,CCU,DEL,7,CCU-DEL
6E  2128,DEL,CCU,7,DEL-CCU
6E  2129,CCU,DEL,7,CCU-DEL
6E  213,COK,BOM,7,COK-BOM
6E  2131,DEL,BLR,7,DEL-BLR
6E  2132,BLR,DEL,4,BLR-DEL
6E  2133,BLR,DEL,6,BLR-DEL
6E  2134,BLR,CJB,7,BLR-CJB
6E  2135,BLR,DEL,7,BLR-DEL
6E  2136,DEL,VNS,7,DEL-VNS
6E  2137,VNS,DEL,7,VNS-DEL
6E  214,AMD,BOM,7,AMD-BOM
6E  2148,DEL,SXR,6,DEL-SXR
6E  215,BOM,AMD,7,BOM-AMD
6E  2151,DEL,IXC,7,DEL-IXC
6E  2152,IXC,DEL,7,IXC-DEL
6E  2153,DEL,UDR,7,DEL-UDR
6E  2154,UDR,DEL,7,UDR-DEL
6E  2155,DEL,IXM,7,DEL-IXM
6E  2156,IXM,DEL,7,IXM-DEL
6E  2157,DEL,GAU,7,DEL-GAU
6E  2158,DIB,GAU,7,DIB-GAU
6E  216,HYD,VNS,7,HYD-VNS
6E  2161,BBI,DEL,7,BBI-DEL
6E  2162,DEL,BLR,7,DEL-BLR
6E  2163,BLR,DEL,7,BLR-DEL
6E  2164,DEL,HYD,7,DEL-HYD
6E  2165,HYD,DEL,7,HYD-DEL
6E  2166,DEL,ATQ,7,DEL-ATQ
6E  2167,ATQ,DEL,7,ATQ-DEL
6E  2168,DEL,CJB,7,DEL-CJB
6E  2169,CJB,DEL,7,CJB-DEL
6E  2171,DEL,IXJ,7,DEL-IXJ
6E  2172,IXJ,DEL,7,IXJ-DEL
6E  2173,DEL,BOM,7,DEL-BOM
6E  2174,BOM,DEL,7,BOM-DEL
6E  2175,BLR,IXE,6,BLR-IXE
6E  2176,BLR,DEL,6,BLR-DEL
6E  2177,DEL,STV,7,DEL-STV
6E  2178,STV,DEL,7,STV-DEL
6E  2179,UDR,DEL,1,UDR-DEL
6E  218,JAI,BOM,7,JAI-BOM
6E  219,BLR,IXM,6,BLR-IXM
6E  2192,DEL,GAU,7,DEL-GAU
6E  2193,GAU,DEL,7,GAU-DEL
6E  2195,RPR,DEL,7,RPR-DEL
6E  2197,DEL,VTZ,6,DEL-VTZ
6E  2198,DEL,TRV,7,DEL-TRV
6E  2199,TRV,DEL,7,TRV-DEL
6E  2201,DEL,BDQ,7,DEL-BDQ
6E  2204,BDQ,DEL,7,BDQ-DEL
6E  221,BLR,HYD,7,BLR-HYD
6E  2214,DEL,CCU,7,DEL-CCU
6E  2228,BLR,DEL,7,BLR-DEL
6E  223,DEL,BOM,7,DEL-BOM
6E  224,BLR,VNS,4,BLR-VNS
6E  225,BOM,IDR,7,BOM-IDR
6E  2256,BBI,DEL,6,BBI-DEL
6E  2257,DEL,AMD,7,DEL-AMD
6E  2258,AMD,DEL,7,AMD-DEL
