id,origin,destination,departure,arrival,AircraftCode,Aircraft
6E 399,LKO,GOI,14:35 IST,16:55 IST,32N,Airbus A320neo
6E 2192,KNU,DEL,14:40 IST,15:45 IST,32N,Airbus A320neo
6E 2164,GOI,DEL,22:25 IST,00:55 IST,320,Airbus A320
6E 5038,BOM,UDR,06:25 IST,07:45 IST,32Q,Airbus A321neo
6E 6904,COK,MAA,22:25 IST,23:35 IST,32N,Airbus A320neo
6E 2042,DEL,JAI,18:40 IST,19:40 IST,32N,Airbus A320neo
6E 2073,HYD,TRZ,16:25 IST,17:50 IST,320,Airbus A320
6E 2171,TRZ,HYD,09:20 IST,10:40 IST,32N,Airbus A320neo
6E 2214,DEL,NAG,16:25 IST,18:05 IST,320,Airbus A320
6E 921,AMD,PAT,10:50 IST,13:00 IST,32N,Airbus A320neo
6E 2015,IXL,DEL,11:30 IST,12:55 IST,32N,Airbus A320neo
6E 5043,BLR,DEL,13:00 IST,15:50 IST,32Q,Airbus A321neo
6E 959,IDR,IXJ,10:00 IST,11:55 IST,32N,Airbus A320neo
6E 843,BOM,GAU,20:20 IST,23:30 IST,32Q,Airbus A321neo
6E 993,BOM,DEL,14:15 IST,16:25 IST,32Q,Airbus A321neo
6E 581,MAA,VTZ,10:30 IST,11:45 IST,32A,Airbus A320 (sharklets)
6E 107,PNQ,BLR,20:55 IST,22:30 IST,32Q,Airbus A321neo
6E 6494,HYD,CCU,06:00 IST,08:05 IST,32Q,Airbus A321neo
6E 2393,DEL,CJB,05:10 IST,08:15 IST,320,Airbus A320
6E 6535,BLR,BBI,11:50 IST,13:50 IST,32Q,Airbus A321neo
6E 106,AMD,ATQ,19:40 IST,21:35 IST,32N,Airbus A320neo
6E 945,GOX,HYD,21:45 IST,23:05 IST,32N,Airbus A320neo
6E 2198,CCU,DEL,21:15 IST,23:35 IST,320,Airbus A320
6E 2026,LKO,DEL,07:40 IST,08:50 IST,32N,Airbus A320neo
6E 2201,DEL,BBI,20:00 IST,22:15 IST,32N,Airbus A320neo
6E 2698,IXZ,MAA,13:55 IST,16:00 IST,32A,Airbus A320 (sharklets)
6E 519,DEL,BOM,23:30 IST,01:40 IST,32Q,Airbus A321neo
6E 5337,BOM,MAA,14:00 IST,16:05 IST,32Q,Airbus A321neo
6E 446,BOM,AMD,06:20 IST,07:30 IST,32N,Airbus A320neo
6E 948,CCU,GOX,18:25 IST,21:15 IST,32N,Airbus A320neo
6E 617,VTZ,CCU,18:45 IST,20:25 IST,32A,Airbus A320 (sharklets)
6E 412,UDR,BLR,09:45 IST,11:55 IST,32N,Airbus A320neo
6E 336,PNQ,HYD,00:05 IST,01:10 IST,32N,Airbus A320neo
6E 637,HYD,COK,07:45 IST,09:15 IST,32Q,Airbus A321neo
6E 6532,HYD,GOI,23:30 IST,00:40 IST,32A,Airbus A320 (sharklets)
6E 6298,GOX,BLR,22:30 IST,23:45 IST,320,Airbus A320
6E 633,GOI,BLR,14:40 IST,15:55 IST,32Q,Airbus A321neo
6E 589,GOI,MAA,19:50 IST,21:15 IST,32A,Airbus A320 (sharklets)
6E 397,BOM,BHO,19:55 IST,21:15 IST,32N,Airbus A320neo
6E 5352,BOM,BLR,06:05 IST,07:45 IST,32Q,Airbus A321neo
6E 6318,DEL,BOM,16:15 IST,18:20 IST,321,Airbus A321
