id_x,origin_x,destination_x,departure_x,arrival_x,AircraftCode_x,Aircraft_x,id_y,origin_y,destination_y,departure_y,arrival_y,AircraftCode_y,Aircraft_y
6E 2057,DEL,CCU,18:05 IST,20:30 IST,320,Airbus A320,AI 676,CCU,BOM,09:45 IST,12:30 IST,321,Airbus A321
6E 2057,DEL,CCU,18:05 IST,20:30 IST,320,Airbus A320,AI 775,CCU,BOM,16:20 IST,19:15 IST,32N,Airbus A320neo
6E 2057,DEL,CCU,18:05 IST,20:30 IST,320,Airbus A320,AI 773,CCU,BOM,17:55 IST,20:50 IST,32N,Airbus A320neo
6E 2057,DEL,CCU,18:05 IST,20:30 IST,320,Airbus A320,6E 115,CCU,BOM,21:45 IST,00:30 IST,32N,Airbus A320neo
6E 5009,DEL,HYD,12:20 IST,14:30 IST,32Q,Airbus A321neo,6E 5384,HYD,BOM,12:15 IST,13:40 IST,32Q,Airbus A321neo
6E 5009,DEL,HYD,12:20 IST,14:30 IST,32Q,Airbus A321neo,AI 652,HYD,BOM,17:05 IST,18:35 IST,32N,Airbus A320neo
6E 5009,DEL,HYD,12:20 IST,14:30 IST,32Q,Airbus A321neo,6E 5039,HYD,BOM,19:00 IST,20:35 IST,32Q,Airbus A321neo
6E 2425,DEL,PAT,14:20 IST,16:00 IST,32N,Airbus A320neo,6E 2167,PAT,BOM,15:40 IST,18:15 IST,320,Airbus A320
6E 2172,DEL,BHO,15:05 IST,16:30 IST,320,Airbus A320,6E 753,BHO,BOM,22:00 IST,23:30 IST,32N,Airbus A320neo
6E 5014,DEL,IXJ,17:10 IST,18:35 IST,321,Airbus A321,6E 215,IXJ,BOM,17:35 IST,20:15 IST,321,Airbus A321
6E 2258,DEL,LKO,17:30 IST,18:40 IST,320,Airbus A320,6E 5302,LKO,BOM,13:30 IST,15:45 IST,32N,Airbus A320neo
6E 2258,DEL,LKO,17:30 IST,18:40 IST,320,Airbus A320,6E 2058,LKO,BOM,21:55 IST,00:05 IST,32N,Airbus A320neo
AI 811,DEL,LKO,18:50 IST,20:05 IST,32N,Airbus A320neo,6E 5302,LKO,BOM,13:30 IST,15:45 IST,32N,Airbus A320neo
AI 811,DEL,LKO,18:50 IST,20:05 IST,32N,Airbus A320neo,6E 2058,LKO,BOM,21:55 IST,00:05 IST,32N,Airbus A320neo
6E 5358,DEL,TRV,20:25 IST,23:45 IST,32N,Airbus A320neo,AI 658,TRV,BOM,08:45 IST,10:55 IST,32N,Airbus A320neo
